ticker,sector,size_tier
GEO,Industrials,small
GEV,Industrials,large
GFF,Industrials,small
GGG,Industrials,mid
GHC,Consumer Discretionary,mid
GIII,Consumer Discretionary,small
GILD,Health Care,large
GIS,Consumer Staples,large
GKOS,Health Care,small
GL,Financials,large
GLPI,Real Estate,mid
GLW,Information Technology,large
GM,Consumer Discretionary,large
GME,Consumer Discretionary,mid
GMED,Health Care,mid
GNL,Real Estate,small
GNRC,Industrials,large
GNTX,Consumer Discretionary,mid
GNW,Financials,small
GO,Consumer Staples,small
GOLF,Consumer Discretionary,small
GOOG,Communication Services,large
GOOGL,Communication Services,large
GPC,Consumer Discretionary,large
GPI,Consumer Discretionary,small
GPK,Materials,mid
GPN,Financials,large
GPOR,Energy,small
GRBK,Consumer Discretionary,small
GRMN,Consumer Discretionary,large
GS,Financials,large
GSHD,Financials,small
GT,Consumer Discretionary,small
GTES,Industrials,small
GTM,Communication Services,small
GTY,Real Estate,small
GVA,Industrials,small
GWRE,Information Technology,mid
GWW,Industrials,large
GXO,Industrials,mid
H,Consumer Discretionary,mid
HAE,Health Care,mid
HAFC,Financials,small
HAL,Energy,large
HALO,Health Care,mid
HAS,Consumer Discretionary,large
HASI,Financials,small
HAYW,Industrials,small
HBAN,Financials,large
HCA,Health Care,large
HCC,Materials,small
HCI,Financials,small
HCSG,Industrials,small
HD,Consumer Discretionary,large
HE,Utilities,small
HFWA,Financials,small
HGV,Consumer Discretionary,mid
HIG,Financials,large
HII,Industrials,large
HIMS,Health Care,mid
HIW,Real Estate,small
HL,Materials,mid
HLI,Financials,mid
HLIT,Information Technology,small
HLNE,Financials,mid
HLT,Consumer Discretionary,large
HLX,Energy,small
HMN,Financials,small
HNI,Industrials,small
HOG,Consumer Discretionary,mid
HOMB,Financials,mid
HON,Industrials,large
HONA,Industrials,large
HOOD,Financials,large
HOPE,Financials,small
HP,Energy,small
HPE,Information Technology,large
HPQ,Information Technology,large
HQY,Health Care,mid
HR,Real Estate,mid
HRB,Consumer Discretionary,mid
HRL,Consumer Staples,large
HRMY,Health Care,small
HSIC,Health Care,large
HST,Real Estate,large
HSTM,Health Care,small
HSY,Consumer Staples,large
HTH,Financials,small
HTLD,Industrials,small
HTO,Utilities,small
HTZ,Industrials,small
HUBB,Industrials,large
HUBG,Industrials,small
HUM,Health Care,large
HWC,Financials,mid
HWKN,Materials,small
HWM,Industrials,large
HXL,Industrials,mid
HZO,Consumer Discretionary,small
IART,Health Care,small
IBKR,Financials,large
IBM,Information Technology,large
IBOC,Financials,mid
IBP,Consumer Discretionary,small
ICE,Financials,large
ICHR,Information Technology,small
ICUI,Health Care,small
IDA,Utilities,mid
IDCC,Information Technology,mid
IDXX,Health Care,large
IESC,Industrials,mid
IEX,Industrials,large
IFF,Materials,large
IIPR,Real Estate,small
ILMN,Health Care,mid
INCY,Health Care,large
INDB,Financials,small
INDV,Health Care,small
INGR,Consumer Staples,mid
INSP,Health Care,small
INSW,Energy,small
INTC,Information Technology,large
INTU,Information Technology,large
INVA,Health Care,small
INVH,Real Estate,large
INVX,Energy,small
IOSP,Materials,small
IP,Materials,large
IPAR,Consumer Staples,small
IPGP,Information Technology,mid
IQV,Health Care,large
IR,Industrials,large
IRDM,Communication Services,small
IRM,Real Estate,large
IRT,Real Estate,mid
ISRG,Health Care,large
IT,Information Technology,large
ITGR,Health Care,small
ITRI,Information Technology,small
ITT,Industrials,mid
ITW,Industrials,large
IVT,Real Estate,small
IVZ,Financials,large
J,Industrials,large
JAZZ,Health Care,mid
JBGS,Real Estate,small
JBHT,Industrials,large
JBL,Information Technology,large
JBLU,Industrials,small
JBSS,Consumer Staples,small
JBTM,Industrials,small
JCI,Industrials,large
JEF,Financials,mid
JJSF,Consumer Staples,small
JKHY,Financials,large
JLL,Real Estate,mid
JNJ,Health Care,large
JOE,Real Estate,small
JPM,Financials,large
JXN,Financials,small
KAI,Industrials,small
KALU,Materials,small
KBH,Consumer Discretionary,mid
KBR,Industrials,mid
KD,Information Technology,mid
KDP,Consumer Staples,large
KEX,Industrials,mid
KEY,Financials,large
KEYS,Information Technology,large
KFY,Industrials,small
KGS,Energy,small
KHC,Consumer Staples,large
KIM,Real Estate,large
KKR,Financials,large
KLAC,Information Technology,large
KLIC,Information Technology,small
KMB,Consumer Staples,large
KMI,Energy,large
KMPR,Financials,small
KMT,Industrials,small
KMX,Consumer Discretionary,small
KN,Information Technology,small
KNF,Materials,mid
KNSL,Financials,mid
KNTK,Energy,small
KNX,Industrials,mid
